N.Pg atto autorizzativo,Anno Pg autorizzativo,Tipo gara,Titolo,Cig,Oggetto atto,Importo appalto (Euro),Tipo appalto,Durata contratto,Utilizzo Mepa,Data pubblicazione su iperbole,Link alla determina pubblica,Oggetto determina,Settore/Dipartimento,Servizio,Ui,Responsabile del procedimento di gara,Responsabile del procedimento,Modalit? di aggiudicazione,Scadenza presentazione offerte,Ora scadenza offerte,Variante tempi di completamento/durata,Importo delle somme liquidate (Euro),N.Pg. atto di aggiudicazione,Anno Pg. atto di aggiudicazione,Data atto aggiudicazione,Aggiudicatario,Partita Iva,Codice fiscale,Importo di aggiudicazione (Euro),Aggiudicazione: Link,Aggiudicazione: Elenco operatori,Aggiudicazione: Esiti,Elaborati di gara: Link,Comunicazioni: Link,Chiarimenti: Link,Lotto: Nr. lotto,Lotto: Codice cig,Lotto: Oggetto Cig,Lotto: Importo (Euro),Lotto: N.Pg. atto autorizzativo,Lotto: Anno Pg. atto di aggiudicazione,Lotto: Data atto aggiudicazione,Lotto: Aggiudicatario,Lotto: Partita Iva,Lotto: Codice fiscale,Lotto: Importo di aggiudicazione (Euro),Lotto: Variante tempi di completamento/durata,Lotto: Importo delle somme liquidate (Euro),Lotto: Elenco operatori: Link,Lotto: Esiti
292,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,VOLUME STORIA DIDATTICA,Z551254F99,REALIZZAZIONE VOLUME SULLA STORIA DELLA DIDATTICA DELL'ISTITUZIONE BOLOGNA MUSEI,27000,Servizi,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/CB02DBF577E7062DC1257D810055CC9D?opendocument,REALIZZAZIONE VOLUME SULLA STORIA DELLA DIDATTICA DELL'ISTITUZIONE BOLOGNA MUSEI,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,15000,292,2014,23/12/2014,MAURIZIO CORRAINI SRL,1343560205,,27000,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDE8T?opendocument,,,,,,,,,,,,,,,,,,,
286787,2014,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,Servizio PRIS H24,5955914FB3,"SERVIZIO METROPOLITANO DI ""PRONTO INTERVENTO SOCIALE H24"" INTEGRATO CON IL SERVIZIO ""1522""",187737.12,Servizi,274,,,http://atti.comune.bologna.it/atti/determine.nsf/0/0EB3D8A6B6BAA93DC1257D8100469AC1?opendocument,"DETERMINAZIONE A CONTRARRE PER L'INDIVIDUAZIONE DEL SOGGETTO A CUI AGGIUDICARE IL SERVIZIO METROPOLITANO DI ""PRONTO INTERVENTO SOCIALE H24"" INTEGRATO CON IL SERVIZIO ""1522"". IMPEGNO DELLA RELATIVA SPESA.",Servizi Sociali,Servizi Sociali,,Eno Quargnolo,,,,,,83438.72,329944,2014,20/11/2014,CONSORZIO INDACO,3043241201,,18773712,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/CBAI-9SDEEG?opendocument,,,,,,,,,,,,,,,,,,,
346084,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,Lotta animali infestanti,ZAF1204607,CONTRATTO PER LA REALIZZAZIONE DEL SERVIZIO DI ASSISTENZA TECNICA ALLE ATTIVITA' DI CONTENIMENTO E LOTTA AGLI ANIMALI INFESTANTI E SINANTROPI RELATIVI AL COMUNE DI BOLOGNA,9016.39,Servizi,83,,,http://atti.comune.bologna.it/atti/determine.nsf/0/13B2F8D655F1D263C1257DA50045A2EC?opendocument,AFFIDAMENTO ALLA DITTA ENTOSERVICE SAS DI UN SERVIZIO DI ASSISTENZA TECNICA ALLE ATTIVITA' DI CONTENIMENTO E LOTTA AGLI ANIMALI INFESTANTI E SINANTROPI .,Salute Sport e Citt? Sana,Salute Sport e Citt? Sana,,Maria Adele Mimmi,,,,,,0,346084,2014,03/12/2014,ENTOSERVICE S.A.S. DI PATERGNANI MATTEO E C.,1349290294,,901639,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/CBAI-9SDENB?opendocument,,,,,,,,,,,,,,,,,,,
360005,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,pulizia straordinaria per Festival del Fumetto,zc3124f0ba,pulizia straordinaria per Festival del Fumetto,125,Servizi,300,,,http://atti.comune.bologna.it/atti/determine.nsf/0/21D1E46165F3C663C1257DDA0072FFBA?opendocument,LIQUIDAZIONE DELLA SPESA COMPLESSIVA PER EURO 15250 A FAVORE DI MANUTENCOOP FACILITY MANAGEMENT S.P.A. PER IL SERVIZIO PULIZIA STRAORDINARIA  NELL'AMBITO DELLE ATTIVITA' DEGLI SCAMBI INTERNAZIONALI DEL PROGETTO POLITICHE PER I GIOVANI.,Progetto Politiche per i Giovani,Progetto Politiche per i Giovani,,BERARDINO COCCHIANELLA,,,,,,0,360005,2014,16/12/2014,MANUTENCOOP FACILIT MANAGEMENT,2402671206,,125,,,,,,,,,,,,,,,,,,,,,
288235,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,Convenzione Caaf,Z401298D33,ESPLETAMENTO DI ATTIVITA' INERENTI LA PRESENTAZIONE DI ISTANZE PER LA CONCESSIONE DI CONTRIBUTI ECONOMICI A COMPENSAZIONE DELLE MANCATE DETRAZIONI DEL TRIBUTO TASI PER L'ANNO 2014.,2000,Servizi,41,,,http://atti.comune.bologna.it/atti/determine.nsf/0/4A0C0F17D20D3156C1257D810046827C?opendocument,CONVENZIONE  TRA IL COMUNE DI BOLOGNA ED  I CAAF  CITTADINI PER L'ESPLETAMENTO DI ATTIVITA' INERENTI LA PRESENTAZIONE DI ISTANZE PER LA CONCESSIONE DI CONTRIBUTI ECONOMICI A COMPENSAZIONE DELLE MANCATE DETRAZIONI DEL TRIBUTO TASI PER L'ANNO 2014. IMPEGNO DELLA SPESA COMPLESSIVA DI EURO 17.08000 ( O.F.C.),Dipartimento Benessere di Comunit?,Dipartimento Benessere di Comunit?,,Maria Grazia Bonzagni,,,,,,0,323211,2014,13/11/2014,ASPPI SERVIZI SRL,2147371203,,2000,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/CBAI-9SDFJK?opendocument,,,,,,,,,,,,,,,,,,,
278517,2014,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,Gestione immobili immigrati,0,APPROVAZIONE DELLA CONVENZIONE TRA IL COMUNE DI BOLOGNA E L'AZIENDA CASA EMILIA-ROMAGNA DELLA PROVINCIA DI BOLOGNA PER L'AFFIDAMENTO DELLA GESTIONE DI IMMOBILI UTILIZZATI PER LA SECONDA ACCOGLIENZA ED IL PRIMO INSERIMENTO ABITATIVO DI CITTADINI STRANIERI IMMIGRATI.  ,150000,Servizi,35,,,http://atti.comune.bologna.it/atti/determine.nsf/0/6AF68C23B8969DE2C1257D8100472E05?opendocument,APPROVAZIONE DELLA CONVENZIONE TRA IL COMUNE DI BOLOGNA E L'AZIENDA CASA EMILIA-ROMAGNA DELLA PROVINCIA DI BOLOGNA PER L'AFFIDAMENTO DELLA GESTIONE DI IMMOBILI UTILIZZATI PER LA SECONDA ACCOGLIENZA ED IL PRIMO INSERIMENTO ABITATIVO DI CITTADINI STRANIERI IMMIGRATI.,Servizi Sociali,Servizi Sociali,,Eno Quargnolo,,,,,,0,278517,2014,17/10/2014,ACER AZIENDA CASA EMILIA ROMAGNA,322270372,,150000,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/CBAI-9SDFTG?opendocument,,,,,,,,,,,,,,,,,,,
364428,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,ABBONAMENTO ON LINE A IL SOLE 24 ORE,Z24126773D,ABBONAMENTO ON LINE A IL SOLE 24 ORE,280.6,Servizi,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/D81A4570E6B3E9B9C1257DD500714853?opendocument,LIQUIDAZIONE DELLA SPESA DI EURO 28060  SOSTENUTA PER L'ACQUISTO DI SERVIZI NECESSARI NELL'AMBITO DELLE ATTIVITA' ISTITUZIONALI DEL GABINETTO DEL SINDACO.,Segreteria Generale - Gabinetto del Sindaco,Segreteria Generale - Gabinetto del Sindaco,,LARA BONFIGLIOLI,,,,,,0,364428,2014,19/12/2014,IL SOLE 24 ORE ,777910159,,2806,,,,,,,,,,,,,,,,,,,,,
343771,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,ACQUISTO FASCE TRICOLORI,Z05129A193,FASCE TRICOLORI PER ATTIVITA' ISTITUZIONALI,807,Forniture,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/D752B320227CADE8C1257DAF007A4514?opendocument,LIQUIDAZIONE PER EURO 98454 A FAVORE DELLA DITTA FALCON CREST S.R.L. PER FORNITURA DI BENI DIVERSI NELL'AMBITO DELL' ATTIVITA' ISTITUZIONALE DEGLI UFFICI DEL GABINETTO DEL SINDACO.,Segreteria Generale - Gabinetto del Sindaco,Segreteria Generale - Gabinetto del Sindaco,,LARA BONFIGLIOLI,,,,,,0,343771,2014,28/11/2014,FALCON CREST SRL,2975641206,,807,,,,,,,,,,,,,,,,,,,,,
328327,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,MANUTENZIONE STAMPANTE SEGRETERIA GENERALE,Z65129A2F0,MANUTENZIONE STAMPANTE SEGRETERIA GENERALE,35,Servizi,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/F8F644D83F262E11C1257DA200785510?opendocument,LIQUIDAZIONE DELLA SPESA COMPLESSIVA DI EURO 4270 A FAVORE DELLA DITTA CENTRO COMPUTER SPA PER IL SERVIZIO DI MANUTENZIONE STAMPANTE PER GLI UFFICI E SERVIZI DELLA SEGRETERIA GENERALE,Segreteria Generale,Segreteria Generale,,LARA BONFIGLIOLI,,,,,,0,328327,2014,17/11/2014,CENTRO COMPUTER SPA,1446670380,,35,,,,,,,,,,,,,,,,,,,,,
17935,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,servizi per evento premio UBU,ZB4123E1FF,"Servizi di ospitalit? per evento organizzato in occasione dell'assegnazione del premio UBU al progetto ""E la volpe disse al corvo"".",400,Servizi,1,,,http://atti.comune.bologna.it/atti/determine.nsf/0/720DC036F8BCAA4FC1257D81004B1E95?opendocument,PRENOTAZIONE DELLA SPESA COMPLESSIVA DI EURO 7.00000 PER L'ACQUISIZIONE DI BENI E SERVIZI DIVERSI ATTINENTI AL NORMALE FUNZIONAMENTO ALLA COMUNICAZIONE E  PER LE ATTIVITA' DEL SETTORE SISTEMA CULTURALE E UNIVERSITA'.,Sistema Culturale e Universit?,Sistema Culturale e Universit?,,Dott.ssa Patrizia Rigosi,,,,,,400,17935,2014,30/01/2014,ASSOCIAZIONE CULTURALE ATELIERSI',2055451203,2055451203,400,,,,,,,,,,,,,,,,,,,,,
366239,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,ABBONAMENTO ON LINE PER MESSI COMUNAL,Z9412745E9,ABBONAMENTO ON LINE PER MESSI COMUNAL,2459.02,Servizi,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/306167D66A3BB854C1257DE90045C6F5?opendocument,AFFIDAMENTO ALLA AUTONOMOS S.R.L. PER L'ABBONAMENTO ON LINE E GLI AGGIORNAMENTI NECESSARI PER L'ORDINARIO FUNZIONAMENTO DELLE ATTIVITA' ISTITUZIONALI DEI MESSI COMUNALI DELLA SEGRETERIA GENERALE PER L'ANNO 2015 IMPEGNO DELLA SPESA PER UN IMPORTO COMPLESSIVO DI EURO 3.00000.,Segreteria Generale,Segreteria Generale,,LARA BONFIGLIOI,,,,,,1690,366239,2014,22/12/2014,AUTONOMOS SRL,3312800232,,245902,,,,,,,,,,,,,,,,,,,,,
363634,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,AFFIDAMENTO FORNITURA QUOTIDIANI ANNO 2015,Z481263768,AFFIDAMENTO FORNITURA QUOTIDIANI ANNO 2015,2600,Forniture,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/732851D2A78CFBFCC1257DCC002983D1?opendocument,"AFFIDAMENTO ALLA DITTA ""EDICOLA LA NOTIZIA CHE FA CENTRO"" DEL SERVIZIO DI FORNITURA DI QUOTIDIANI NECESSARI ALLE ATTIVITA' ISTITUZIONALI DEL'UFFICIO STAMPA E COMUNICAZIONE DELLA SEGRETERIA GENERALE PER L'ANNO 2015. IMPORTO COMPLESSIVO DELLA SPESA DI EURO 2.60000.",Segreteria Generale - ufficio stampa e comunicazione,Segreteria Generale - ufficio stampa e comunicazione,,LARA BONFIGLIOLI,,,,,,571.1,363634,2014,19/12/2014,EDICOLA LA NOTIZIA CHE FA CENTRO,2650111202,,2600,,,,,,,,,,,,,,,,,,,,,
351874,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,"PROGETTO "" BUILD-SEE"" SERVIZIO CATERING",Z03122BB36,AFFIDAMENTO SERVIZIO CATERING ,650,Servizi,1,Si,,http://atti.comune.bologna.it/atti/determine.nsf/0/FA98F5BEE8AF9315C1257DB7005470B2?opendocument,"PROGETTO "" BUILD -SEE"" ( SEE/D/0320/4.1/X) - AFFIDAMENTO ALLA DITTA "" IL LABORATORI DEI SAPORI S.R.L"" DI UN SERVIZIO  CATERING  - COSTITUZIONE DEL RELATIVO SUB IMPEGNO PER EURO 79300 (O.F.C.)",SERVIZI PER L'ABITARE,Servizi per l'abitare,,DAVIDE MINGUZZI,,,,,,0,351874,2014,05/12/2014,IL LABORATORIO DEI SAPORI S.R.L.,1668161209,,650,,,,,,,,,,,,,,,,,,,,,
20,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,SERVIZIO MANUTENZIONE,ZE31205DD9,SERVIZIO MANUTENZIONI INFORMATICHE PER BIBLIOTECA CABRAL,630,Servizi,30,,,http://atti.comune.bologna.it/atti/determine.nsf/0/A8586DEC78AF26A7C1257DDC00590A6D?opendocument,PRENOTAZIONE GENERICA,ISTITUZIONE BIBLIOTECHE,,BIBLIOTECA DEL CENTRO AMILCAR CABRAL,PIERANGELO BELLETTINI,,,,,,630,513,2014,12/12/2014,CALLIPIGIA S.R.L.,2013761206,,630,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/RZAI-9SJCJM?opendocument^http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/RZAI-9SJDQB?opendocument,,,,,,,,,,,,,,,,,,,
110789,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,MATERIALE INFORMATICO,Z89129C622,ACQUISTO MATERIALE INFORMATICO DA MEPA,574.9,Forniture,30,Si,,http://atti.comune.bologna.it/atti/determine.nsf/0/F69D4BC068D096E6C1257D81004B8D7F?opendocument,ACQUISIZIONE CON PROCEDURA DI ACQUISTO ACCENTRATA DI PRODOTTI INFORMATICI PER GLI UFFICI COMUNALI: IMPEGNO DELLA SPESA DI EURO 100.00000,Agenda digitale e Tecnologie Informatiche,Agenda digitale e Tecnologie Informatiche,,Osvaldo Panaro,,,,,,574.9,110789,2014,06/05/2014,W2K S.R.L.,6810761004,,5749,,,,,,,,,,,,,,,,,,,,,
